"","From","To","From_Team","To_Team","channel","timestamp","type"
"71","U02HGCBP98S","U02J7P7FRM4","Organizing Team","C3: WOMER","general","1636639975.002700","mention"
"72","U02H9L293M4","U02J7P7FRM4","Organizing Team","C3: WOMER","inprogress-troubleshoot","1635838579.014900","mention"
"73","U02H9L293M4","U02J7P7FRM4","Organizing Team","C3: WOMER","0_team_info","1635804182.011100","mention"
"74","U02HGCBP98S","U02J7P7FRM4","Organizing Team","C3: WOMER","general","1636963755.007000","mention"
"75","U02HE3Q0B7X","U02J8QRNXJT","Organizing Team","B4: Women 4 Sustainable World","general","1637334015.001500","mention"
"76","U02H9L293M4","U02J8QRNXJT","Organizing Team","B4: Women 4 Sustainable World","team-women-for-sustainable-world","1636713956.001200","mention"
"77","U02KFCYC49F","U02J8QRNXJT","Tool Owner","B4: Women 4 Sustainable World","team-women-for-sustainable-world","1636977370.001100","mention"
"78","U02H9L293M4","U02J8QRNXJT","Organizing Team","B4: Women 4 Sustainable World","0_team_info","1635804182.011100","mention"
"79","U02KFCYC49F","U02J8QRNXJT","Tool Owner","B4: Women 4 Sustainable World","team-women-for-sustainable-world","1636965212.000100","mention"
"80","U02JEFQUSBC","U02JB5Z745T","A5: Donate Water Project","Organizing Team","team-donate-water-project","1635880646.013900","mention"
"81","U02JEFGAJRG","U02JB5Z745T","B5: Rights of Climate","Organizing Team","general","1636867842.004900","mention"
"82","U02JEFQUSBC","U02JB5Z745T","A5: Donate Water Project","Organizing Team","0_announcements_read_only","1635336352.008000","mention"
"83","U02JEFQUSBC","U02JB5Z745T","A5: Donate Water Project","Organizing Team","team-donate-water-project","1636280354.003300","mention"
"84","U02H9L293M4","U02JB5Z745T","Organizing Team","Organizing Team","0_announcements_read_only","1635179164.012100","mention"
"85","U02H9L293M4","U02JBFRE7GD","Organizing Team","A3: Rhythm of Bamboos","0_team_info","1635804182.011100","mention"
"86","U02H9L293M4","U02JBG1KNPP","Organizing Team","A2: Women & Technology Against Climate Change","0_team_info","1635804182.011100","mention"
"88","U02HGCBP98S","U02JBG5JMK7","Organizing Team","C1: Andapé Institute","general","1636639931.002500","mention"
"89","U02HGCBP98S","U02JBG5JMK7","Organizing Team","C1: Andapé Institute","general","1636963834.007200","mention"
